model,role,pos,n_tokens_persona_directed,n_tokens_goal_oriented
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,64,29433,46219
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,65,29824,46729
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,66,30186,47091
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,67,30619,47618
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,68,30960,47791
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,69,31417,48225
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,70,31855,48578
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,71,32261,48967
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,72,32385,49292
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,73,32621,49647
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,74,32997,50148
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,75,33326,50799
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,76,33639,51278
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,77,34016,51761
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,78,34302,52210
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,79,34582,52348
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,80,34956,52731
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,81,35369,53065
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,82,35681,53206
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,83,36064,53347
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,84,36444,53734
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,85,36868,54021
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,86,37302,54118
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,87,37752,54478
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,88,38209,54878
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,89,38663,55191
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,90,39112,55619
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,91,39518,56028
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,92,39941,56475
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,93,40388,56695
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,94,40859,56795
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,95,41331,56987
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,96,41787,57415
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,97,42149,57793
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,98,42557,57983
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,99,43004,58437
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,100,43500,58791
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,101,43779,59948
Llama-3.1-Nemotron-Nano-8B-v1,Gaston,102,43911,60353
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,0,0,0
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,1,200,429
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,2,473,692
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,3,770,809
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,4,1070,1447
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,5,1421,1647
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,6,1806,1766
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,7,2199,2108
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,8,2466,2436
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,9,2764,2891
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,10,3056,3360
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,11,3382,3973
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,12,3819,4368
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,13,4152,4717
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,14,4517,4919
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,15,4925,5113
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,16,5403,5515
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,17,5849,5801
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,18,6337,6304
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,19,6870,6588
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,20,7463,6914
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,21,7998,7250
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,22,8592,7323
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,23,8866,7733
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,24,9178,8137
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,25,9611,8546
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,26,9986,8792
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,27,10438,8919
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,28,10730,9353
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,29,11253,9730
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,30,11620,10122
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,31,12089,10504
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,32,12413,10657
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,33,12768,10963
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,34,13058,11434
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,35,13301,11551
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,36,13529,11811
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,37,13789,12071
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,38,14056,12509
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,39,14359,12845
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,40,14672,13327
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,41,14980,13718
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,42,15197,14339
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,43,15488,14763
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,44,15942,15216
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,45,16348,15646
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,46,16633,16037
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,47,16972,16574
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,48,17301,17036
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,49,17629,17722
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,50,17954,18182
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,51,18372,18339
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,52,18578,18881
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,53,18810,19371
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,54,19021,19821
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,55,19235,20187
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,56,19491,20512
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,57,19663,20797
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,58,19927,21217
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,59,20194,21579
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,60,20453,21949
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,61,20706,22273
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,62,20998,22538
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,63,21293,22963
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,64,21607,23465
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,65,21963,23927
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,66,22338,24247
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,67,22761,24794
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,68,23169,24856
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,69,23535,25316
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,70,23869,25532
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,71,24314,25946
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,72,24413,26178
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,73,24591,26585
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,74,24747,27047
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,75,25014,27551
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,76,25218,28051
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,77,25500,28616
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,78,25741,29081
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,79,25962,29153
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,80,26178,29466
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,81,26398,29783
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,82,26578,29879
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,83,26779,29977
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,84,26970,30324
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,85,27166,30634
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,86,27364,30709
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,87,27547,30993
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,88,27778,31226
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,89,27988,31565
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,90,28206,31934
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,91,28421,32438
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,92,28662,32893
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,93,28870,33260
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,94,29236,33330
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,95,29667,33532
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,96,30063,33916
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,97,30471,34298
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,98,30870,34541
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,99,31308,34968
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,100,31650,35320
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,101,31734,37038
Llama-3.1-Nemotron-Nano-8B-v1,Queen Catherine,102,31879,37495
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,0,0,0
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,1,360,608
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,2,782,929
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,3,1321,1232
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,4,1681,2081
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,5,2149,2390
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,6,2483,2433
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,7,2848,2917
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,8,3098,3065
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,9,3423,3591
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,10,3676,3911
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,11,4023,4523
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,12,4450,5022
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,13,4795,5318
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,14,5085,5476
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,15,5416,5647
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,16,5941,6098
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,17,6402,6322
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,18,6957,6858
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,19,7464,7214
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,20,7934,7582
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,21,8475,8072
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,22,8936,8165
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,23,9245,8624
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,24,9555,9029
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,25,10037,9435
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,26,10486,9706
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,27,10924,9810
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,28,11364,10313
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,29,11834,10633
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,30,12256,10958
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,31,12719,11309
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,32,13039,11467
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,33,13369,11855
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,34,13818,12296
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,35,14114,12406
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,36,14409,12722
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,37,14773,12912
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,38,15028,13354
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,39,15315,13718
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,40,15683,14236
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,41,16143,14680
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,42,16443,15300
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,43,16789,15763
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,44,17149,16175
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,45,17626,16591
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,46,17950,16931
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,47,18392,17354
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,48,18823,17735
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,49,19232,18508
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,50,19650,18968
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,51,20143,19156
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,52,20387,19619
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,53,20652,20116
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,54,20910,20561
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,55,21145,20980
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,56,21380,21269
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,57,21655,21539
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,58,21977,21934
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,59,22328,22280
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,60,22654,22550
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,61,22940,22815
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,62,23246,23128
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,63,23699,23421
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,64,24071,23909
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,65,24486,24439
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,66,24877,24796
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,67,25292,25175
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,68,25742,25237
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,69,26210,25639
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,70,26688,25908
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,71,27118,26219
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,72,27211,26475
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,73,27459,26996
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,74,27626,27417
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,75,28035,28194
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,76,28447,28648
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,77,28879,29114
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,78,29281,29527
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,79,29653,29633
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,80,30051,29940
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,81,30464,30290
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,82,30835,30391
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,83,31246,30497
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,84,31644,30888
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,85,32102,31225
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,86,32468,31330
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,87,32938,31671
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,88,33470,32111
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,89,33975,32521
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,90,34571,32943
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,91,35131,33437
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,92,35632,33901
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,93,36104,34343
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,94,36573,34413
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,95,37092,34618
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,96,37580,35055
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,97,38134,35473
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,98,38718,35668
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,99,39303,36008
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,100,39877,36451
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,101,39971,38734
Llama-3.1-Nemotron-Nano-8B-v1,Michael Scott,102,40103,39160
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,0,0,0
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,1,281,507
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,2,616,719
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,3,936,869
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,4,1260,1376
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,5,1533,1515
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,6,1813,1624
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,7,2070,1969
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,8,2330,2255
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,9,2564,2733
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,10,2768,3239
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,11,3003,3787
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,12,3314,4174
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,13,3563,4447
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,14,3887,4612
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,15,4178,4794
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,16,4503,5233
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,17,4764,5534
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,18,5024,6160
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,19,5385,6414
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,20,5686,6860
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,21,6115,7203
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,22,6563,7278
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,23,6790,7720
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,24,7015,8179
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,25,7315,8691
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,26,7536,8978
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,27,7900,9110
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,28,8223,9590
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,29,8461,9951
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,30,8784,10267
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,31,8976,10670
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,32,9232,10958
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,33,9495,11370
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,34,9794,11816
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,35,10089,11951
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,36,10343,12210
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,37,10621,12346
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,38,10908,12742
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,39,11218,13114
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,40,11503,13569
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,41,11832,14001
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,42,12148,14530
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,43,12489,14976
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,44,12755,15394
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,45,13136,15758
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,46,13401,16152
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,47,13662,16582
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,48,13906,16941
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,49,14212,17639
Llama-3.1-Nemotron-Nano-8B-v1,HAL 9000,50,14441,18115
